Attendance (%),Assignment Score,Final Score (hidden),Performance
82,30,50.800000000000004,Low
86,37,56.599999999999994,Medium
99,61,76.2,High
84,77,79.8,High
57,33,42.6,Low
97,99,98.2,High
77,48,59.599999999999994,Medium
74,61,66.2,Medium
90,38,58.8,Medium
54,41,46.2,Low
64,40,49.6,Low
94,75,82.6,High
76,45,57.400000000000006,Medium
67,30,44.8,Low
49,92,74.8,Medium
78,50,61.2,Medium
96,59,73.80000000000001,Medium
56,42,47.6,Low
78,63,69.0,Medium
61,33,44.2,Low
65,57,60.199999999999996,Medium
83,88,86.0,High
64,56,59.2,Medium
56,98,81.2,High
52,54,53.2,Low
59,32,42.8,Low
64,97,83.8,High
43,54,49.599999999999994,Low
49,49,49.0,Low
42,63,54.599999999999994,Low
80,55,65.0,Medium
84,34,54.0,Low
57,90,76.8,High
86,38,57.2,Medium
75,79,77.4,High
86,35,55.4,Medium
61,89,77.8,High
73,73,73.0,Medium
86,40,58.4,Medium
47,95,75.8,High
79,76,77.2,High
88,32,54.400000000000006,Low
83,59,68.6,Medium
58,50,53.2,Low
81,57,66.6,Medium
80,91,86.6,High
76,62,67.6,Medium
45,64,56.4,Medium
91,81,85.0,High
65,63,63.8,Medium
73,70,71.2,Medium
98,80,87.2,High
95,76,83.6,High
98,87,91.4,High
84,86,85.2,High
45,52,49.2,Low
76,77,76.6,High
96,51,69.0,Medium
72,46,56.4,Medium
92,98,95.6,High
61,40,48.400000000000006,Low
60,44,50.4,Low
45,64,56.4,Medium
45,62,55.199999999999996,Medium
94,45,64.6,Medium
87,63,72.6,Medium
43,95,74.2,Medium
69,69,69.0,Medium
50,57,54.199999999999996,Low
69,76,73.2,Medium
70,68,68.8,Medium
63,99,84.6,High
94,49,67.0,Medium
48,30,37.2,Low
94,92,92.8,High
42,96,74.39999999999999,Medium
90,33,55.8,Medium
70,87,80.19999999999999,High
79,54,64.0,Medium
76,76,76.0,High
75,67,70.19999999999999,Medium
63,44,51.6,Low
70,92,83.19999999999999,High
45,50,48.0,Low
41,86,68.0,Medium
59,82,72.8,Medium
67,75,71.8,Medium
50,43,45.8,Low
43,46,44.8,Low
54,68,62.4,Medium
45,38,40.8,Low
93,35,58.2,Medium
88,52,66.4,Medium
69,88,80.4,High
95,75,83.0,High
77,67,71.0,Medium
90,43,61.8,Medium
96,91,93.0,High
41,64,54.8,Low
54,48,50.4,Low
50,59,55.4,Medium
47,54,51.2,Low
65,69,67.4,Medium
90,43,61.8,Medium
84,55,66.6,Medium
83,51,63.8,Medium
44,77,63.8,Medium
45,80,66.0,Medium
65,32,45.2,Low
93,71,79.80000000000001,High
43,48,46.0,Low
58,57,57.4,Medium
59,74,68.0,Medium
72,100,88.8,High
59,92,78.8,High
88,48,64.0,Medium
51,76,66.0,Medium
86,43,60.2,Medium
40,67,56.199999999999996,Medium
65,82,75.19999999999999,High
53,90,75.2,High
77,65,69.8,Medium
76,69,71.8,Medium
50,59,55.4,Medium
75,38,52.8,Low
52,93,76.6,High
82,62,70.0,Medium
42,81,65.4,Medium
72,43,54.6,Low
45,82,67.19999999999999,Medium
89,88,88.4,High
95,70,80.0,High
49,97,77.8,High
44,97,75.8,High
62,37,47.0,Low
49,31,38.2,Low
83,70,75.2,High
41,84,66.8,Medium
52,45,47.8,Low
79,91,86.2,High
41,77,62.599999999999994,Medium
59,59,59.0,Medium
40,41,40.599999999999994,Low
76,64,68.8,Medium
48,40,43.2,Low
56,93,78.2,High
48,79,66.6,Medium
50,50,50.0,Low
54,98,80.4,High
63,77,71.4,Medium
77,49,60.2,Medium
94,96,95.19999999999999,High
74,73,73.4,Medium
69,62,64.8,Medium
70,90,82.0,High
88,38,58.0,Medium
44,97,75.8,High
99,64,78.0,High
83,94,89.6,High
89,37,57.8,Medium
53,74,65.6,Medium
92,76,82.4,High
95,69,79.4,High
50,83,69.8,Medium
48,75,64.2,Medium
73,76,74.80000000000001,Medium
51,44,46.8,Low
74,48,58.4,Medium
74,55,62.6,Medium
40,81,64.6,Medium
79,51,62.2,Medium
61,50,54.400000000000006,Low
99,80,87.6,High
68,67,67.4,Medium
47,49,48.2,Low
50,58,54.8,Low
80,80,80.0,High
76,33,50.2,Low
53,84,71.6,Medium
99,100,99.6,High
69,57,61.8,Medium
74,33,49.400000000000006,Low
60,51,54.599999999999994,Low
76,74,74.8,Medium
44,96,75.19999999999999,High
58,95,80.2,High
98,63,77.0,High
53,84,71.6,Medium
65,30,44.0,Low
43,67,57.39999999999999,Medium
64,35,46.6,Low
84,54,66.0,Medium
81,46,60.0,Medium
64,90,79.6,High
57,41,47.4,Low
79,35,52.6,Low
47,56,52.400000000000006,Low
78,37,53.400000000000006,Low
79,94,88.0,High
53,86,72.80000000000001,Medium
71,69,69.8,Medium
90,43,61.8,Medium
100,64,78.4,High
77,77,77.0,High
72,85,79.8,High
62,78,71.6,Medium
54,42,46.8,Low
72,90,82.8,High
64,78,72.4,Medium
56,75,67.4,Medium
72,91,83.4,High
86,37,56.599999999999994,Medium
94,72,80.8,High
41,49,45.8,Low
53,68,62.0,Medium
92,78,83.6,High
79,93,87.4,High
79,91,86.2,High
90,83,85.8,High
78,38,54.0,Low
90,66,75.6,High
45,78,64.8,Medium
45,70,60.0,Medium
42,46,44.4,Low
46,50,48.400000000000006,Low
90,80,84.0,High
47,88,71.6,Medium
81,68,73.19999999999999,Medium
91,84,86.8,High
54,70,63.6,Medium
86,68,75.19999999999999,High
68,42,52.400000000000006,Low
72,93,84.6,High
91,40,60.4,Medium
69,48,56.4,Medium
78,40,55.2,Medium
66,75,71.4,Medium
75,74,74.4,Medium
68,30,45.2,Low
77,69,72.2,Medium
96,48,67.2,Medium
72,90,82.8,High
100,41,64.6,Medium
76,90,84.4,High
66,62,63.599999999999994,Medium
94,74,82.0,High
72,98,87.6,High
43,37,39.4,Low
61,54,56.8,Medium
41,75,61.400000000000006,Medium
49,59,55.0,Medium
44,76,63.2,Medium
98,78,86.0,High
49,76,65.2,Medium
72,47,57.0,Medium
93,95,94.2,High
77,97,89.0,High
52,62,58.0,Medium
70,65,67.0,Medium
86,48,63.199999999999996,Medium
75,57,64.19999999999999,Medium
84,69,75.0,High
63,44,51.6,Low
91,70,78.4,High
95,68,78.8,High
54,31,40.2,Low
68,92,82.4,High
47,58,53.599999999999994,Low
44,95,74.6,Medium
68,80,75.2,High
86,39,57.8,Medium
43,43,43.0,Low
51,80,68.4,Medium
84,68,74.4,Medium
41,57,50.599999999999994,Low
66,32,45.6,Low
70,99,87.4,High
90,56,69.6,Medium
90,31,54.599999999999994,Low
75,67,70.19999999999999,Medium
75,32,49.2,Low
65,45,53.0,Low
82,69,74.2,Medium
66,31,45.0,Low
44,70,59.6,Medium
59,41,48.2,Low
50,64,58.4,Medium
49,94,76.0,High
79,84,82.0,High
77,74,75.2,High
45,91,72.6,Medium
47,78,65.6,Medium
62,54,57.2,Medium
86,52,65.6,Medium
65,53,57.8,Medium
85,67,74.19999999999999,Medium
82,57,67.0,Medium
51,50,50.400000000000006,Low
65,83,75.8,High
52,47,49.0,Low
79,65,70.6,Medium
57,74,67.2,Medium
64,82,74.8,Medium
72,59,64.2,Medium
86,89,87.8,High
79,61,68.2,Medium
99,96,97.19999999999999,High
82,96,90.4,High
51,57,54.599999999999994,Low
83,73,77.0,High
75,70,72.0,Medium
87,92,90.0,High
43,52,48.4,Low
44,77,63.8,Medium
95,61,74.6,Medium
76,86,82.0,High
47,62,56.0,Medium
81,53,64.19999999999999,Medium
88,68,76.0,High
67,63,64.6,Medium
70,85,79.0,High
97,57,73.0,Medium
48,66,58.800000000000004,Medium
93,36,58.8,Medium
90,97,94.19999999999999,High
68,66,66.80000000000001,Medium
53,85,72.2,Medium
79,94,88.0,High
80,94,88.4,High
61,76,70.0,Medium
50,49,49.4,Low
62,48,53.599999999999994,Low
40,58,50.8,Low
85,89,87.4,High
76,47,58.6,Medium
60,64,62.4,Medium
65,72,69.19999999999999,Medium
85,40,58.0,Medium
75,78,76.8,High
93,67,77.4,High
62,93,80.6,High
96,98,97.2,High
40,37,38.2,Low
93,63,75.0,High
94,77,83.8,High
90,85,87.0,High
79,94,88.0,High
54,60,57.6,Medium
60,33,43.8,Low
86,79,81.8,High
48,98,78.0,High
92,59,72.2,Medium
48,88,72.0,Medium
49,96,77.19999999999999,High
91,74,80.8,High
96,33,58.2,Medium
92,55,69.80000000000001,Medium
65,56,59.6,Medium
80,75,77.0,High
74,93,85.4,High
91,80,84.4,High
64,79,73.0,Medium
65,35,47.0,Low
50,88,72.8,Medium
77,44,57.2,Medium
41,59,51.8,Low
46,71,61.0,Medium
57,66,62.400000000000006,Medium
66,71,69.0,Medium
73,64,67.6,Medium
66,35,47.400000000000006,Low
56,97,80.6,High
82,47,61.0,Medium
98,58,74.0,Medium
83,88,86.0,High
98,76,84.80000000000001,High
90,46,63.599999999999994,Medium
93,51,67.8,Medium
63,97,83.4,High
64,98,84.4,High
46,66,58.0,Medium
91,78,83.19999999999999,High
45,42,43.2,Low
92,63,74.6,Medium
63,82,74.4,Medium
72,80,76.8,High
88,32,54.400000000000006,Low
68,71,69.80000000000001,Medium
82,61,69.4,Medium
61,80,72.4,Medium
65,75,71.0,Medium
67,50,56.8,Medium
89,73,79.4,High
60,40,48.0,Low
88,97,93.4,High
46,30,36.400000000000006,Low
56,92,77.6,High
59,53,55.4,Medium
80,42,57.2,Medium
88,40,59.2,Medium
59,80,71.6,Medium
93,46,64.8,Medium
61,53,56.2,Medium
67,48,55.599999999999994,Medium
100,66,79.6,High
79,37,53.8,Low
88,57,69.4,Medium
46,34,38.8,Low
40,46,43.599999999999994,Low
71,65,67.4,Medium
52,48,49.599999999999994,Low
69,93,83.4,High
62,40,48.8,Low
90,83,85.8,High
98,74,83.6,High
95,76,83.6,High
58,41,47.8,Low
71,50,58.400000000000006,Medium
69,40,51.6,Low
68,34,47.6,Low
88,85,86.2,High
84,49,63.0,Medium
68,70,69.2,Medium
69,75,72.6,Medium
55,41,46.599999999999994,Low
79,99,91.0,High
58,46,50.8,Low
57,48,51.599999999999994,Low
40,55,49.0,Low
53,77,67.4,Medium
90,81,84.6,High
86,99,93.8,High
89,84,86.0,High
41,62,53.599999999999994,Low
93,91,91.80000000000001,High
67,52,58.0,Medium
88,44,61.6,Medium
89,56,69.2,Medium
69,93,83.4,High
77,80,78.8,High
90,82,85.19999999999999,High
43,80,65.2,Medium
40,76,61.6,Medium
47,33,38.6,Low
68,36,48.8,Low
94,64,76.0,High
78,77,77.4,High
42,74,61.2,Medium
71,48,57.2,Medium
49,92,74.8,Medium
49,67,59.8,Medium
58,96,80.8,High
85,88,86.8,High
73,98,88.0,High
99,42,64.8,Medium
72,76,74.4,Medium
62,90,78.8,High
94,60,73.6,Medium
67,51,57.4,Medium
71,72,71.6,Medium
89,96,93.19999999999999,High
46,83,68.2,Medium
68,39,50.6,Low
47,71,61.400000000000006,Medium
40,93,71.8,Medium
96,50,68.4,Medium
94,95,94.6,High
42,70,58.8,Medium
63,53,57.0,Medium
62,64,63.2,Medium
98,85,90.2,High
100,59,75.4,High
47,86,70.4,Medium
93,76,82.80000000000001,High
96,64,76.80000000000001,High
86,48,63.199999999999996,Medium
76,37,52.6,Low
42,55,49.8,Low
90,100,96.0,High
72,59,64.2,Medium
67,36,48.4,Low
86,96,92.0,High
47,94,75.2,High
73,65,68.2,Medium
74,54,62.0,Medium
71,66,68.0,Medium
63,30,43.2,Low
53,44,47.6,Low
71,66,68.0,Medium
95,42,63.2,Medium
85,37,56.2,Medium
82,34,53.2,Low
55,89,75.4,High
43,30,35.2,Low
91,65,75.4,High
76,64,68.8,Medium
93,95,94.2,High
60,92,79.19999999999999,High
53,52,52.400000000000006,Low
70,38,50.8,Low
94,63,75.4,High
87,75,79.80000000000001,High
57,33,42.6,Low
46,59,53.8,Low
49,32,38.8,Low
46,43,44.2,Low
72,89,82.2,High
62,74,69.2,Medium
60,63,61.8,Medium
58,74,67.6,Medium
87,90,88.80000000000001,High
100,45,67.0,Medium
58,95,80.2,High
75,69,71.4,Medium
68,46,54.8,Low
99,63,77.4,High
57,45,49.8,Low
41,89,69.8,Medium
40,95,73.0,Medium
86,95,91.4,High
44,42,42.8,Low
59,85,74.6,Medium
50,60,56.0,Medium
81,63,70.19999999999999,Medium
41,68,57.2,Medium
42,96,74.39999999999999,Medium
62,37,47.0,Low
94,84,88.0,High
51,56,54.0,Low
59,82,72.8,Medium
44,68,58.4,Medium
76,94,86.8,High
77,46,58.4,Medium
69,59,63.0,Medium
48,82,68.4,Medium
73,42,54.400000000000006,Low
92,50,66.80000000000001,Medium
83,48,62.0,Medium
74,82,78.8,High
91,48,65.19999999999999,Medium
97,86,90.4,High
61,54,56.8,Medium
83,60,69.2,Medium
63,84,75.6,High
56,52,53.6,Low
49,61,56.2,Medium
69,91,82.2,High
95,39,61.4,Medium
98,83,89.0,High
85,81,82.6,High
62,49,54.2,Low
71,61,65.0,Medium
56,43,48.2,Low
89,79,83.0,High
90,57,70.19999999999999,Medium
56,82,71.6,Medium
53,53,53.0,Low
48,51,49.8,Low
79,59,67.0,Medium
41,92,71.6,Medium
84,33,53.400000000000006,Low
64,88,78.4,High
78,37,53.400000000000006,Low
48,41,43.8,Low
93,60,73.2,Medium
61,63,62.2,Medium
82,78,79.6,High
85,86,85.6,High
43,55,50.2,Low
65,47,54.2,Low
97,67,79.0,High
68,79,74.6,Medium
84,37,55.8,Medium
73,70,71.2,Medium
62,35,45.8,Low
76,98,89.2,High
50,73,63.8,Medium
45,93,73.8,Medium
57,58,57.599999999999994,Medium
60,57,58.199999999999996,Medium
81,40,56.4,Medium
75,94,86.4,High
80,48,60.8,Medium
77,38,53.6,Low
73,56,62.800000000000004,Medium
56,63,60.2,Medium
76,73,74.2,Medium
64,97,83.8,High
77,44,57.2,Medium
97,80,86.80000000000001,High
51,42,45.6,Low
62,78,71.6,Medium
92,99,96.2,High
81,85,83.4,High
61,80,72.4,Medium
60,66,63.6,Medium
66,46,54.0,Low
96,87,90.6,High
70,58,62.8,Medium
45,62,55.199999999999996,Medium
66,89,79.8,High
79,84,82.0,High
73,39,52.6,Low
51,76,66.0,Medium
84,52,64.8,Medium
96,50,68.4,Medium
92,42,62.0,Medium
46,62,55.599999999999994,Medium
49,53,51.4,Low
84,40,57.6,Medium
56,46,50.0,Low
65,97,84.19999999999999,High
60,76,69.6,Medium
67,54,59.2,Medium
97,50,68.80000000000001,Medium
85,41,58.599999999999994,Medium
41,66,56.0,Medium
99,71,82.2,High
93,46,64.8,Medium
82,77,79.0,High
40,57,50.199999999999996,Low
90,70,78.0,High
92,76,82.4,High
75,47,58.2,Medium
90,100,96.0,High
65,42,51.2,Low
68,42,52.400000000000006,Low
60,60,60.0,Medium
50,31,38.599999999999994,Low
79,45,58.6,Medium
50,38,42.8,Low
75,67,70.19999999999999,Medium
88,83,85.0,High
98,85,90.2,High
78,74,75.6,High
79,63,69.4,Medium
74,38,52.400000000000006,Low
93,37,59.400000000000006,Medium
73,36,50.8,Low
94,65,76.6,High
86,47,62.599999999999994,Medium
63,32,44.400000000000006,Low
93,57,71.4,Medium
61,99,83.8,High
44,73,61.4,Medium
95,50,68.0,Medium
72,57,63.0,Medium
97,83,88.6,High
75,83,79.8,High
86,94,90.8,High
59,50,53.6,Low
58,42,48.400000000000006,Low
74,86,81.2,High
91,78,83.19999999999999,High
82,83,82.6,High
56,39,45.8,Low
98,82,88.4,High
84,73,77.4,High
82,76,78.4,High
73,82,78.4,High
48,75,64.2,Medium
65,42,51.2,Low
41,66,56.0,Medium
92,53,68.6,Medium
48,31,37.8,Low
48,43,45.0,Low
79,39,55.0,Medium
56,64,60.8,Medium
40,54,48.4,Low
64,32,44.8,Low
100,46,67.6,Medium
82,41,57.400000000000006,Medium
79,83,81.4,High
81,53,64.19999999999999,Medium
64,58,60.4,Medium
78,72,74.4,Medium
74,54,62.0,Medium
42,89,70.2,Medium
89,94,92.0,High
76,57,64.6,Medium
83,45,60.2,Medium
83,76,78.80000000000001,High
90,87,88.19999999999999,High
69,56,61.2,Medium
77,82,80.0,High
73,71,71.80000000000001,Medium
51,88,73.2,Medium
58,76,68.80000000000001,Medium
76,63,68.2,Medium
83,66,72.80000000000001,Medium
98,35,60.2,Medium
98,36,60.8,Medium
88,54,67.6,Medium
100,62,77.19999999999999,High
56,84,72.8,Medium
49,87,71.8,Medium
96,36,60.0,Medium
94,86,89.2,High
88,41,59.8,Medium
86,45,61.4,Medium
51,72,63.599999999999994,Medium
55,36,43.599999999999994,Low
63,80,73.2,Medium
58,61,59.800000000000004,Medium
47,37,41.0,Low
70,74,72.4,Medium
60,88,76.8,High
56,33,42.2,Low
62,96,82.39999999999999,High
76,58,65.2,Medium
93,58,72.0,Medium
55,57,56.199999999999996,Medium
45,73,61.8,Medium
47,33,38.6,Low
64,38,48.400000000000006,Low
57,34,43.2,Low
64,85,76.6,High
51,79,67.8,Medium
54,44,48.0,Low
98,61,75.80000000000001,High
65,57,60.199999999999996,Medium
80,51,62.599999999999994,Medium
84,46,61.2,Medium
65,88,78.8,High
86,100,94.4,High
71,86,80.0,High
49,55,52.6,Low
55,54,54.4,Low
46,39,41.8,Low
56,74,66.8,Medium
62,40,48.8,Low
65,82,75.19999999999999,High
60,97,82.19999999999999,High
61,57,58.599999999999994,Medium
97,94,95.2,High
46,78,65.2,Medium
53,76,66.80000000000001,Medium
54,81,70.2,Medium
92,83,86.6,High
46,89,71.8,Medium
48,86,70.80000000000001,Medium
90,76,81.6,High
87,60,70.80000000000001,Medium
47,75,63.8,Medium
89,55,68.6,Medium
98,34,59.6,Medium
62,81,73.4,Medium
68,83,77.0,High
57,62,60.0,Medium
70,79,75.4,High
69,67,67.8,Medium
91,56,70.0,Medium
78,44,57.6,Medium
74,90,83.6,High
57,50,52.8,Low
98,75,84.2,High
81,98,91.19999999999999,High
78,35,52.2,Low
56,67,62.599999999999994,Medium
53,91,75.80000000000001,High
70,91,82.6,High
63,75,70.2,Medium
74,42,54.8,Low
83,32,52.400000000000006,Low
99,35,60.6,Medium
84,37,55.8,Medium
73,73,73.0,Medium
42,62,54.0,Low
76,79,77.8,High
82,40,56.800000000000004,Medium
79,57,65.8,Medium
65,99,85.4,High
94,70,79.6,High
62,45,51.8,Low
83,97,91.4,High
78,77,77.4,High
54,85,72.6,Medium
95,93,93.8,High
88,88,88.0,High
43,91,71.8,Medium
68,40,51.2,Low
61,47,52.6,Low
64,48,54.4,Low
52,84,71.2,Medium
57,55,55.8,Medium
72,35,49.8,Low
55,33,41.8,Low
84,58,68.4,Medium
81,88,85.19999999999999,High
83,46,60.8,Medium
41,72,59.599999999999994,Medium
94,95,94.6,High
74,63,67.4,Medium
81,37,54.599999999999994,Low
73,42,54.400000000000006,Low
69,37,49.8,Low
98,94,95.6,High
94,72,80.8,High
52,68,61.599999999999994,Medium
52,88,73.6,Medium
57,73,66.6,Medium
71,38,51.2,Low
71,66,68.0,Medium
74,65,68.6,Medium
98,57,73.4,Medium
78,71,73.80000000000001,Medium
85,72,77.19999999999999,High
91,71,79.0,High
68,95,84.2,High
88,84,85.6,High
68,77,73.4,Medium
92,51,67.4,Medium
